cultivo,anio,campania,provincia,provincia_id,departamento,departamento_id,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tm,rendimiento_kgxha
soja,1948,1948/1949,Misiones,54,ApÃ³stoles,54007,12,10,9,900
soja,1948,1948/1949,Misiones,54,CainguÃ¡s,54014,180,60,60,1000
soja,1948,1948/1949,Misiones,54,Candelaria,54021,250,60,60,1000
soja,1948,1948/1949,Misiones,54,IguazÃº,54063,220,80,80,1000
soja,1948,1948/1949,Misiones,54,San Ignacio,54098,110,60,60,1000
soja,1948,1948/1949,Misiones,54,San Javier,54105,150,70,63,900
soja,1948,1948/1949,Misiones,54,San Pedro,54112,70,30,30,1000
soja,1949,1949/1950,Misiones,54,ApÃ³stoles,54007,15,12,10,833
soja,1949,1949/1950,Misiones,54,CainguÃ¡s,54014,120,110,88,800
soja,1949,1949/1950,Misiones,54,Candelaria,54021,200,120,96,800
soja,1949,1949/1950,Misiones,54,IguazÃº,54063,80,50,40,800
soja,1949,1949/1950,Misiones,54,San Ignacio,54098,90,70,56,800
soja,1949,1949/1950,Misiones,54,San Javier,54105,220,160,128,800
soja,1949,1949/1950,Misiones,54,San Pedro,54112,40,30,24,800
soja,1950,1950/1951,Misiones,54,ApÃ³stoles,54007,10,8,4,500
soja,1950,1950/1951,Misiones,54,CainguÃ¡s,54014,100,90,72,800
soja,1950,1950/1951,Misiones,54,Candelaria,54021,300,270,216,800
soja,1950,1950/1951,Misiones,54,ConcepciÃ³n,54035,20,18,9,500
soja,1950,1950/1951,Misiones,54,IguazÃº,54063,60,54,43,796
soja,1950,1950/1951,Misiones,54,San Ignacio,54098,80,70,56,800
soja,1950,1950/1951,Misiones,54,San Javier,54105,350,315,252,800
soja,1950,1950/1951,Misiones,54,San Pedro,54112,30,27,22,815
soja,1951,1951/1952,Misiones,54,ApÃ³stoles,54007,10,5,6,1200
soja,1951,1951/1952,Misiones,54,CainguÃ¡s,54014,80,60,48,800
soja,1951,1951/1952,Misiones,54,Candelaria,54021,250,200,180,900
